類別,標題
政治,林飛帆傳入國安會！　王鴻薇狠酸「變林20萬」：跟著黨走吃香喝辣
政治,市長任內頻見財團！前幕僚勸柯文哲認錯　怒問：有登錄廉政平台嗎？
政治,王世堅寧相信柯文哲不懂京華城　批柯帝王心態踢鐵板「死得更慘了」
政治,憂罷免恐成政治報復工具　藍委提案修《罷免法》提高門檻
政治,送老婆的母親節禮物　蔣萬安送花、帶二寶跑行程分擔壓力
政治,柯文哲會沈慶京沒做廉政登錄　蔣萬安：政風跟檢調已介入調查
政治,520就職典禮賴清德唱國歌？　蔣萬安：總統完整唱國歌很正常
政治,凱擘無預警斷網引爆民怨　蔣萬安：全力協助市民後續求償
政治,陳時中任政委再獲政治舞台　蔣萬安談老對手喊話：更貼近民意
政治,黃國昌為519集會槓林俊憲　吳崢嗆：選擇性咆哮！不敢回應林淑芬
政治,藍營集體缺席賴清德520就職　王世堅：這點風度都沒有怎麼朝野合作？
政治,陸配團體母親節前訪海基會　邱垂正致謝：盼建立更緊密關係
政治,國民黨智庫籲司法院正副院長請辭　建立與總統同進退慣例
政治,震災頻傳！核安會2015年報告揭3核電廠防震「堪憂」　監院介入調查
政治,蔡英文將特赦陳水扁？　許宇甄轟「雙標」：不顧民意反對
政治,藍白提私校退場條例修法逕付二讀　范雲憂：退場中大學成財團禿鷹標的
政治,「高膽固醇血症」恐致心臟病、中風！專家提「11項飲食建議」
政治,新青安房貸好划算？　專家提醒：小心斷頭風險
政治,綠營「奉陪到底」焦土策略奏效　花東交通建設2案改下週再戰
政治,朝野13日協商賴清德國情報告　3黨最終聚焦AB「2形式」
政治,傳蔡英文下週特赦陳水扁　本人親回：政治問題就是政治解決！
政治,疑國軍弟兄酒醉跳街舞拍抖音　國防部曝真相：已向憲兵隊告發
政治,住家狂被騷擾！巧芯媽失控嗆口罩男道歉「我太痛苦了，對不起」
政治,北捷文湖線下班時間「軌道冒煙」乘客被趕下車　原因曝光
政治,藍委集體缺席520稱「留立院辦公」　綠黨團邀請：會期中都可赴中了
政治,總統是否赴立院國情報告朝野達成初步共識　三大交通建設不是錢坑更不會債留子孫
政治,陳佩琪揭退休計畫　「希望能獨立工作有自己的收入」
政治,台大EMBA校友基金會偏鄉理財教育團隊前進新北　金山、清水高中「玩遊戲學理財」
政治,許淑華點京華城案關鍵　蔣萬安認同：若是李四川「就不會補償」
政治,傳蔡英文下週特赦陳水扁　綠委指「是時候了」：讓社會邁向和解
政治,林俊憲稱白519集會有隱情　黃國昌酸：堂堂賴清德大弟子搞得像側翼
政治,賴清德國情報告下週協商　綠拋「院長先總統後」：各黨指派代表詢答
政治,賴清德挑戰更甚陳水扁時期？　他指「3因素」：憲改才能解決問題
政治,卓內閣名單再公布！陳時中、史哲任政委　吳志中任外交部次長
政治,特赦陳水扁？　TVBS民調：48%民眾不支持
政治,昨要徐巧芯快認錯！　呂家愷今急改口：造成黨內困擾會改進
政治,「全力支持立委登臨太平島」　馬英九：保衛國家領土立場絕不能退卻
政治,卡關11年！新北市府放行了　核一水保計畫核定完成
政治,北士科30%可做批發零售業使用　議員質疑變相圖利廠商
政治,腸病毒就診創10年新高！疫苗一劑4000元　藍委推：納入公費施打
政治,傳採沒收8億「免刑不免罪」特赦陳水扁　總統府重申：依規辦理
政治,若蔡英文下周特赦陳水扁　黃暐瀚分析「白搭」：還有案子沒審完
政治,轟民進黨用人肉炸彈摧毀國會　朱立倫：賴清德請反省
政治,立院首次！邀請賴清德國情報告　「朝野無異議」逕付二讀
政治,國情報告沒預設立場！　傅崐萁向賴清德喊話：放心回娘家
政治,看不起小草？民眾黨519集會北市警估僅千人　議員驚：會激怒小草
政治,傳藍綠底線賴清德赴立院「統問統答」　柯建銘說不可能：不是一樣？
政治,蔣市府沒跟新壽密會？蔣萬安遭打臉　林延鳳送桃花劍助斬妖除魔
政治,自家人不挺徐巧芯　陳玉珍喊話：我強烈支持她真的很勇敢
政治,沒翁柏宗沒iPhone16？　王育敏曝內幕轟：內行人故意講外行話
政治,藍白共提修正動議刪花東條例特別預算　柯建銘：有什麼好表決？
政治,國民黨團決議「不出席賴清德520就職」　洪孟楷：週一沒放假
政治,北檢認徐巧芯沒洩密？　王定宇曝「玄機」：誤解或曲解新聞稿
政治,主持最後部務會報　林右昌：施政工作一棒接一棒
政治,加速921地震前建物更新　內政部修法放寬都更條例增誘因
政治,環島高速、花東快遭疑債留子孫　傅崐萁：推BOT、政府零出資
政治,疑魚果市場改建違反程序　游淑慧：柯文哲是不懂市政的昏君
政治,傅崐萁花東3條例要上兆特別預算　白營有意見、藍委也反彈「要避免」
政治,台智光拒解約還討利息　蔣萬安不接受：4月8日已終止合約
政治,回文曝光！台智光悍拒解約堅要2100元費率　還搬民法想收利息
政治,連江縣府代辦「福馬同城通」涉違法　綠委指統戰工具：應介入查辦
政治,民眾黨519踢館綠營主堡　綠委揭2「貓膩」：像故意不讓這場活動成功
政治,藍綠猛打北士科、京華城！　柯文哲2大案爭議一次看
政治,打詐四法通過但「FB上一堆謝金河」　本尊：詐騙橫行是政府不作為
政治,陸5海警船「首攜公務船」闖金門禁限水域　海巡出動6艇跟監驅離
政治,賴清德內定總統府發言人曝光！前女主播出任　1男1女平均不到40歲
政治,傅崐萁兆元3案協商無果　柯建銘喊不會擋花蓮：每個人都要向憲法低頭
政治,3小時協商無果　黃國昌：不支持傅崐萁「花東」3建設用特別預算
政治,蔡英文、馬英九民調比較　小笠原分析：政黨輪替與否的原因之一
政治,統籌分配款支應桃美館缺口20.6億　藍議員質疑鄭文燦承諾跳票
政治,立委聲量最新前三名出爐　國民黨第一不是韓國瑜而是「她」！
政治,不挺徐巧芯修法版本！軍系藍委表決倒戈行政院　喊「要做正確的事」
政治,立院初審議員助理補助費　北市議長曝1缺憾：每月加班費6人分2432元
政治,人事案沒過i16恐無法上市　藍委轟廢掉NCC剛好而已
政治,軍懲法初審通過！　沈伯洋酸：少了「這三人」國會可以好好運作
政治,藍委提試用期8成薪炸鍋怪認知作戰　綠黨團：國民黨怎麼這麼多笑話？
政治,台南爛菜風波未停！　藍軍請教育局政風調查中立莫欺侮營養師和廚工
政治,柯文哲519赴民進黨中央遊行　綠營「隨便他們」：完全是政治鬧劇
政治,強化打詐工具！政院曝曾討論植入木馬監控　2原因作罷不強推
政治,與萬華角頭吃魚翅！北市民政局長：獲議員邀請　僅討論青山王祭
政治,藍擋NCC人事+修法「iPhone 16無法上市」　綠嘆癱瘓政府是國民受害
政治,賴清德就職禮賓服裝亮相！　設計師曝「女褲裝」理念：無畏、自由
政治,名嘴爆節目遭「這個人」向NCC檢舉　諷徐巧芯變「徐禁評」
政治,打詐越打越多？　羅秉成：盼明年下半年從「痛苦期」進入「控制期」
政治,曹興誠現身立院外高喊「我們不要變香港」！籲藍委：別做中共走狗
政治,3萬人包圍立法院！雞排妹站椅上「狂喊1事」　青島東路人流管制
政治,立院二讀新增國會調查權　民眾、團體拒絕或隱匿最高罰10萬
政治,「時力造就巨獸黃國昌」　王婉諭談黑箱爭議：比藍綠過半時還惡劣
政治,馬英九卸任禮遇終止「奧迪也沒了」！改搭國產中古休旅車
政治,立院外萬人聚集　百靈果主持人到場被嗆「出去！」離開
政治,《日經亞洲》：台灣在野黨準備通過爭議法案　賴清德剛上任陷動盪
政治,TPOC數據「65％網挺藍白國會改革」　王鴻薇：別把人民當成白痴
政治,國會KTV！綠營拿太陽花唱島嶼天光　藍營人持國旗貼紙唱國歌
政治,台大教授姜皇池　婉謝國安會諮委職務
政治,龐培歐讚賴清德擘劃願景　樂見重申台海和平
政治,民進黨立委現身立院天橋鞠躬！「郭昱晴激動落淚」　民眾高喊加油
政治,民進黨武鬥轉文場　祭案海交叉火網「不打，反而不會失焦」
政治,看不起？無懼場外8千抗議群眾　徐巧芯聽抗議人數拍桌狂笑
政治,隔空勸告韓國瑜　游錫堃：主其事者要重視協商，以人民意見為意見
政治,憂太陽花再現？　立院急公告：5點起陸續封閉周邊部分出入口
政治,雙手比愛心！蕭美琴會僑胞笑意藏不住　肩背「台灣地圖」有巧思
政治,藍白共提「不再處理散會動議」　秀昔會議紀錄嗨喊：謝柯建銘
政治,賴清德會僑胞談4大使命　守護2350萬人生命與飯碗
政治,主持0403震災復原重建會議　卓榮泰指示加速復原重建工作
政治,「黃國昌因張慶忠黑箱佔立院」　林淑芬：現加入國會多數就不是黑箱？
政治,2天前就逃到台北！基隆殺人未遂犯落跑　陳宥丞：蔣萬安快收心坐鎮
政治,捷運萬大線施工不慎釀高鐵跳電　北市捷運局深表歉意
