類別,標題
政治,趙少康逆風挺高虹安浮報助理費　「國會助理加班費幾乎都領滿」
政治,「陸船翻覆」金門協商明重新舉行　朱立倫批：拖那麼久不應該
政治,3台灣
政治,稱高虹安詐領助理費「問題多」　朱立倫：民進黨看一下自家立委
政治,太寬容？狂被問楊文科、顏寬恒黨紀處分寬鬆　朱立倫：慣例處理
政治,北市將狼師案送監院！許淑華抓包「早就立案」批政治動作　蔣萬安回應了
政治,轟公視宣傳「罷樑」成側翼　 羅智強揭：柯文哲、韓國瑜都曾受害
政治,白挺高虹安稱停職違憲　周玉蔻：民調崩跌、泡沫化指日可待
政治,高雄大樓地下室淹水災情慘　市府緊急因應給補助、慰助金安撫民怨
政治,強化基礎設施自主防災韌性　劉世芳：目標明年底前全國防災士5萬人
政治,稱高虹安想捐薪「慷國家之慨」　劉世芳再談停薪法源
政治,卓榮泰赴吳詩儀家麵館　與選手視訊喊話：全台灣都是你們的靠山
政治,柯文哲爭議連環爆　議員批：向全台灣示範「知法犯法」
政治,疫後首團陸客抵馬祖！　陸委會：歡迎更多陸客到金馬旅遊
政治,想開小草咖啡廳惹議　陳佩琪爆料：柯文哲氣到晚上不想回家
政治,爆柯文哲京華城案關鍵指示　游淑慧揭「3會議」：他要求盡速辦理
政治,柯文哲申報政治獻金遭打臉「非公司承接業務」　民眾黨：釐清中
政治,代表馬英九致電挺翁曉玲！　蕭旭岑：兩岸都是中國人
政治,機捷A12遊客中心啟用　張善政：提升桃園國際觀光市場能見度
政治,柯志恩自爆險遭詐騙過程　喊話政府：打詐預算將達73億請拿出成績
政治,憲法法庭宣告「代理教師不計職前年資」違憲　相關辦法一年後失效
政治,大巨蛋開演唱會趕進度！　消安驗證報告下周出爐
政治,AIT處長谷立言拜會中市府　盧秀燕：盼創更多合作空間
政治,曝2026蘇巧慧別想選新北　吳子嘉揭原因：賴清德將對父蘇貞昌下手
政治,中山商圈逃過團滅！北市府補救方法出爐　擴大2020年後新店家也納管
政治,江啟臣赴梨山饗堂秋祭　允諾向中央爭取為觀光景點
政治,認「用別人名義開小草咖啡廳」　陳佩琪致歉：不知違法已託人撤銷
政治,澳前總理稱台灣「中國不動產」　外交部斥：無法反映國際主流意見
政治,藍綠挺林郁婷只當「鍵盤俠」　TPOC：官方反應慢致國際形成不利輿論
政治,綠批立院花186萬律師費　趙少康：民進黨不是始作俑者嗎？
政治,賴清德「非核家園」政策挨批急轉彎　洪申翰澄清：非信仰式的意識形態
政治,立院花百萬元打憲法法庭訴訟惹議　藍爆：綠用千萬養御用律師事務所
政治,俄羅斯駐聯合國副代表攻擊林郁婷　外交部嚴厲譴責：凸顯蠻橫本質
政治,綠色AI算力聯盟今成立　藍委籲：政府應成為創新技術後盾
政治,揭賴清德「左手進、右手出」手法　吳怡萱：全民繳稅養活共生集團
政治,綠委收死亡威脅、林飛帆被控召妓遭逮捕　綠：認知作戰痕跡明確
政治,查京華城案！檢調約談彭振聲　王定宇揭4重點：誰將倒大楣？
政治,釋憲案白營律師價碼「1人抵4機關」　綠酸黃國昌冤大頭：高金額請這種
政治,藍白立委收到恐嚇信！　國民黨團強烈譴責：已報案處理
政治,賴清德非核家園轉彎？　總統府斥扭曲原意
政治,檢調查京華城案將約談彭振聲　黃國昌：檢調洩獨家給媒體帶風向
政治,賴清德慢半拍聲援林郁婷？　 趙少康轟：一定是被大家罵死才動作
政治,設非軍事區、建金廈大橋！　金門議會2政團破百人連署書遞交立院
政治,新竹2022再現？李縉穎喊「藍白合進行式」　綠酸已破功：市民眼睛雪亮
政治,賴清德評估用新核能要先連任　黃國昌：別挑戰公民社會智商
政治,賴清德稱「非核家園非意識形態」　藍委：證明能源政策徹底破產
政治,傅崐萁母喪　鄭銘謙、柯文哲致哀　花東鐵公路常中斷民眾黨籲加強海空運
政治,賴清德指「非核家園」是法定目標　藍轟：錯誤能源政策的遮羞布
政治,「黨主席之爭」盧秀燕陷兩難　黃暐瀚分析：不選會有2028的未知風險
政治,列「台獨頑固份子」後啟動　側翼瘋傳林飛帆召妓被逮、威脅殺綠委全家
政治,台獨清單5名嘴不見了！　郭正亮揭原因：中國敵對氛圍針對民進黨
政治,林飛帆被傳「召妓」、薪資比部長高　深夜發文回應了
政治,總統賴清德：「非核家園」非民進黨意識形態
政治,郭婞淳舉重奪銅　賴清德：負傷力抗強敵令人驕傲！
政治,核電未來轉「緊急備用機組」？　曾文生揭關鍵原因：沒有辦法！
政治,賴清德若啟用「新技術核能」要先總統連任　最快2030年後評估
政治,總統府回應翁曉玲質疑　憲法法庭3位律師費總計45萬元
政治,童子賢主張核電感嘆被誤解反綠電　直呼不排碳發電每一度都珍貴
政治,氣候變遷會議激辯4小時？　賴清德笑：媒體會猜大家是不是吵起來
政治,環團肯定賴清德掌舵迎氣候變遷挑戰　籲政府公布用電大戶名單
政治,實踐環境、經濟雙贏　曹世綸：持續綠能基礎佈建關乎半導體業留台
政治,賴清德下令台電「電網強韌計畫」提早4年　2028完成民生關鍵工程
政治,賴清德拋3條件「核安、核廢料、社會共識」　可接受新的核能技術
政治,台電提出台灣能源6大挑戰　坦言「未來3年供電壓力最大」
政治,海基會董座傳由吳豐山接任　陸委會：並無所悉
政治,曝謝國樑「反罷免」首要任務　他籲1事勿重演：藍戰力會被看衰
政治,綠訪團與美大麻業者餐敘　賴士葆問要進口嗎？若是就喪盡天良了
政治,台灣40年後將「沒有冬天」衝擊溫泉業　未來颱風減少但傷害更大
政治,金門民代連署蓋「金廈大橋」　陸委會：不是單純「通橋」那麼簡單
政治,「把最健康的歲月奉獻國家」　謝長廷談卸任感言：人生翻過新一頁
政治,「奧運派對」局處看臉書才知　蔣萬安曝原規劃：我認為這次意義特殊
政治,多位藍白立委收到恐嚇信！　羅智強曝「內容」：自己絕不低頭
政治,國台辦設「舉報台獨信箱」　陸委會擔心「周子瑜事件」重演！
政治,綠促臨時會處理人事同意權　喊話韓國瑜身負重任：請盡快召集協商
政治,賴清德：氣候治理是「多選題」　反核、擁核不是簡單「是非題」
政治,林郁婷遭國際拳總霸凌　藍委籲賴清德反制：停止購買俄羅斯天然氣
政治,內政部「打詐綱領2.0」明年上路　劉世芳：結合打詐四法打擊詐欺
政治,10登場　F16V、幻象及IDF三主力戰機飆戰技
政治,競選經費遭疑！柯文哲付授權金給木可？　民眾黨澄清：委託作業管理費
政治,稱麟洋配中國人的驕傲遭轟　翁曉玲不認錯：同文同種哪有說錯話
政治,父親節分享「好爸爸秘笈」　陳世凱：一起來當神隊友！
政治,蔣萬安喊找選手走紅毯　林延鳳爆「局處看臉書才知」：蹭好蹭滿奧運
政治,林郁婷進冠軍賽再遭J.K.羅琳嗆　藍委引哈利波特台詞：去去武器走！
政治,侯友宜加碼！　「新北女兒」林郁婷搶金成功將獲570萬元
政治,奧運網路「負面聲量」排行榜出爐　林郁婷居冠、翁曉玲「中國人」第三
政治,朱立倫遭指與大麻美眾議員合照！　國民黨怒嗆：指鹿為馬
政治,海軍首阿美族少將晉任　空軍昔特技飛官喊：不會讓共軍越雷池一步
政治,總統府開委員會童子賢再談核電延役　行政院：能源政策態度不變
政治,氣候變遷對策委員會核能議題受矚　李彥秀：賴清德要反核神主牌
政治,釋憲案立院花186萬請律師　行政院曝光價碼：總經費30萬
政治,當林郁婷後盾力挺奪金　行政院：證據都已蒐集好「法律面賽後再進行」
政治,郭正亮揭民進黨2026派系南北交易　「林右昌換林俊憲」蘇巧慧阻力大
政治,節能家電汰舊換新補助延長！　經濟部2年編136億補助408萬台
政治,曝「麟洋配曾遭政府糾正」　黃揚明揭辛酸史：奪牌前有誰知道他們
政治,蔣萬安邀奧運選手16日走紅毯、After party　倒數一週急聯繫設計師
政治,打詐新四法上路　卓榮泰：打詐預算大幅增加展現決心
政治,翁曉玲喊被霸凌　綠委：她的言行本該被唾棄
政治,憶父親借錢奔波為讓他唸書　陳水扁：子欲養而親不在
政治,民眾黨駁木可公關金流疑雲　黃暐瀚提1點質疑：怪怪的？
政治,藍白為釋憲案花186萬公帑請律師　吳思瑤：綠自掏腰包「感謝公益價」
政治,賴清德首出席將官晉任逐一致意　重申兩岸互不隸屬、主權不容併吞
政治,貓奴注意！家貓明年8月起也要辦寵物登記　未登記恐重罰1.5萬
政治,92歲柯爸摔車受傷！　柯文哲貼「病床照」：父親節聽聽孩子的話
政治,心疼！林郁婷賽後被對手比「雙X」　蔡其昌：氣到睡不著
政治,行政院114年編194億撥補公教退撫基金　較113年成長近翻倍
政治,李孟諺小三陸配身分曝光！　住3千萬豪宅是遠航張綱維蓋的
政治,獲鍾東錦力挺！柯文哲道謝：此時我被全面圍剿　這番話需多大勇氣？
政治,8年沒發文！PTT帳號爆「李孟諺婚外情」再發文：被盜了
政治,「我知道的柯文哲絕不貪錢」　鍾東錦發文力挺：不因柯落難就忘了過去
政治,「身為戰士絕不丟盔棄甲」　黃珊珊稱陪柯戰鬥：生死關頭都沒投降
政治,劍指台南幫？綠委喊別扯派系　評李孟諺工作專業、能力強
政治,曝柯文哲政治獻金漏登、誤登　黃珊珊談6爭議！反嗆綠「幽靈計程車」
政治,評李孟諺婚外情閃辭恐是內鬥！　游淑慧酸綠營：代代相傳優良傳統
政治,京華城案遭控「神祕會議」　黃珊珊：無任何神秘或私相授受
政治,監院重申不彈劾陳宗彥「無關顏色」　南檢資料到院後將依規定續處
政治,李孟諺爆外遇閃辭　李彥秀酸內鬥：綠從陳宗彥、趙天麟都學不乖
政治,李孟諺婚外情閃辭部長　黃揚明酸「蔡規賴不隨」：賴政府不吃這套
政治,「民眾黨存在為了扯藍後腿？」　趙少康：檢討得從柯文哲先做起
政治,陳亭妃、林俊憲與謝龍介對比民調　藍議員委託成大調查結果曝
政治,民眾黨崩盤？羅智強指柯文哲一定被起訴　主菜「京華城」將上桌
政治,沒有黃珊珊藍白合更順暢　凌濤勸柯文哲別保珊：沒有黨哪裡還有權
政治,高雄市長選戰怎佈局　林右昌：這非現在要思考的
政治,租屋補貼越補越貴　李彥秀批政院：缺乏長期政策才是高房價主因
政治,林郁婷遭川普歧視！政府靜悄悄　趙少康轟：賴清德不要只會蹭
政治,「有些政黨很會説、不會做」　林右昌：綠有價值理念也有執行力
政治,川普諷林郁婷「變性人」　翁曉玲籲賴政府：拿出釋憲速度捍衛名譽
政治,藍打珊不打柯　民進黨酸「拔草測風向」：朱立倫可當民眾黨會計師
政治,「柯文哲無法處理黃珊珊」　蕭旭岑斷言：柯的政治動能恐被架空
政治,曝柯文哲找來李文宗原因　柯昱安直言橫空出世：出張嘴大於作為
政治,揭柯文哲設立木可原因　柯昱安喊不意外：他常掛嘴邊想有黨營事業
政治,要盧選黨主席遭朱立倫批干擾團結　蕭旭岑澄清：我講得只是通則
政治,北水處推「節約用水知識大挑戰」　今起答題抽iPhone15、Dyson
政治,藍委聲援台鐵被打女站務！　喊話李孟諺「別講官話」讓基層心寒
政治,民主黨今起全代會！國民黨觀選團抵美　「給國人第一手動態」
政治,民眾黨假帳有多傷？　流失300萬人、增220萬人反感
政治,民眾黨還沒倒　最新政黨支持度13.8%、僅掉2.2百分點
政治,金門議長洪允典再爆爭議　遭串聯罷免
政治,民眾黨政治獻金風暴　黃國昌駁斥「訪美避風頭」：見縫插針大可不必
政治,揭柯文哲保黃珊珊「2政治算計」　李永萍：留校察看把她架火上烤
政治,被影射與柯「神秘會議」牽線京華城　應曉薇澄清：公開且有完整紀錄
政治,宏都拉斯前副總統提跟台灣復交　外交部：持續關注！不預設前提
政治,AIT「慶讚中元」燒美金紙錢！　入境隨俗綠色乖乖、啤酒端上供桌
政治,黃珊珊陷黨內外夾殺　柯文哲策略護珊「是機會也是考驗」
政治,柯文哲因專制陷「假帳門」　前藍高層：政黨靠宮廷模式必出問題
政治,柯文哲出席台南創業論壇！分享見解與未來展望　期許青年勇於創業
政治,林郁婷奪金返故鄉鶯歌遊行　蘇巧慧同慶發5千海報秒被搶光
政治,藍「護柯打珊」盼得小草青睞　估民眾黨將因「3大案」自爆
政治,柯文哲陷危機綠保守「順勢走」　維持戰略高度不急搶年輕人
政治,美日韓聯合聲明維持印太和平　外交部：持續合作共同守護台海
政治,桃園槓上中央？撤銷SRF廠進駐　張善政：追求程序正義
政治,朱送暖柯文哲被嗆「你才沒誠實申報」　國民黨：在野力量要團結
政治,民眾黨過去沒人能擅自調節　前幕僚揭「申報經驗」：SOP蕩然無存
政治,岸田文雄親回社群！賴清德排第二　涉外人士：已是印太重要領袖
政治,觀光逆差4436億元創新紀錄　李彥秀：政府沒吸引國際旅客的創意
政治,「善樑組合」基隆成功市場合體　張善政、謝國樑共籲反惡罷
政治,毛畯坤判刑28年　受害家長6點聲明：應判無期徒刑
政治,細數黨主席任內成就　朱立倫訪美喊「國民黨堅定捍衛中華民國」
政治,東岸商場法律戰「基市府4連勝」　謝國樑嘆：罷免早失去正當性
政治,6藍「反惡罷」造勢？　謝國樑：黨中央全權處理
政治,自曝「復健照」！談國改衝突尾椎傷勢　郭國文：期許別再發生
政治,蛋糕被偷吃　陳佩琪曝與柯文哲「不滿」急遽升高：X！鮪魚肚頂桌緣
政治,國防部前官員曝3真實鬼故事　老士官巡哨、女鬼壓床、挖出骨灰罈
政治,林亮君質疑93.7％捧現金捐款　柯文哲認「勾錯」：多數是網路捐款
政治,民眾黨像裝了葉克膜邁向死亡　黃揚明預言內鬥：開始把同志當敵人
政治,曾力勸柯文哲改進2大問題！　呱吉：否則沒資格挑戰總統大位
政治,「台日友誼更加緊密謝長廷功不可沒」　林佳龍盼李逸洋接任更上層樓
政治,柯文哲爭議再+1！四叉貓爆「砸200萬租自家車」：小草的錢好割嗎
政治,93.7%小草捧2億現金捐款給柯文哲？　林亮君再爆：又是申報錯誤
政治,柯文哲假帳風波怎究責？　他列白「6巨頭」說法酸：6人卻有8個派系
政治,賴清德YT推新企劃　以「新家人」視角敘述當總統心得
政治,日神人學者：柯文哲「挑戰兩黨」角色已落幕　台灣將重回傳統藍綠對決
政治,戴瑋姍回嗆陳智菡成豬隊友？　黃揚明曝：領的是市議員薪水
政治,吳思瑤批蔣萬安設「麟洋路」蹭過頭　北市府：請委員搞清楚狀況
政治,李四川曬師傅爬大巨蛋頂抓漏照　喊：大巨蛋演唱會不遠了
政治,狗咬人責任難釐清！北市21座狗公園全沒監視器　北市府允改善
政治,賴清德PO領養狗狗照　蔡英文：恭喜斑斑獲得「中分頭爸爸」
政治,基隆東岸商場爭議市府四連勝　財政部駁回NET異議
政治,黨員爆捐錢沒憑據沒抵稅？　簡舒培酸：民眾黨喊窮結果一本爛帳
政治,派員參加共和、民主兩黨全代會　朱立倫：國民黨堅定親美立場
政治,陳智菡大選月領20萬！反嗆綠　前發言人：沒報薪水因我是無薪志工
政治,反罷免聲勢！國民黨「陸空並進」號召基隆人反霸凌　藍大咖輪番相挺
政治,民眾黨中評會氣氛肅殺但未表決　黃珊珊懲處關鍵仍繫戴利玲
政治,「為罷免而罷免傷害民主」蔣萬安、李彥秀基隆掃街力挺謝國樑
政治,13投票　李彥秀轟：民進黨「輸不起」的延長賽
政治,藍設「基隆反惡罷事實專區」！轟中選會介入罷免　籲投「不同意票」
政治,質疑柯文哲「隔空串證」彭振聲　簡舒培：他擔心彭把事情全盤托出
政治,宣布設別名「麟洋路」！　蔣萬安：後續會啟動相關程序
政治,蔣萬安設「麟洋路」　吳思瑤批蹭過頭：全台「中正路」蔣敢改名？
政治,台灣重回藍綠對決？　柯文哲自信喊不會：沒有形成兩黨政治條件
政治,赴基隆掃街挺謝國樑！　蔣萬安：遏制政治仇恨對立的火苗
政治,朱立倫雪中送炭　柯文哲不領情：場面話大家都會講
政治,蔡壁如要黃珊珊負全責　柯文哲：辭職走人簡單、留下善後才困難
政治,考選部公布114年國考期程　預定辦理20項考試「皆須經考試院會決定」
政治,夏立言稱「九二共識由我方政府提出」　陸委會：竄改歴史令人不安
政治,柯文哲請假3月「黨主席還是他的」！她精準預言嘆：看來有聽進去
政治,延燒24天陷「動搖黨本」風暴　柯文哲政治獻金爭議始末一次看
政治,全國房租金額曝光！北市松山區2.4萬最貴　新北林口區也達2.1萬
政治,王以太演唱會開不成　陸委會：主辦單位沒違規「是邀請對象違規」
政治,轟柯文哲「只想動員小草來拍拍手」　顏若芳5點評記者會：自相矛盾
政治,藍委嗆考試院「護國考」權宜之計違憲　試院：若人民權利受損更嚴重
政治,四叉貓抓包記者會「木可10天前開的發票」　求問：選舉都結束半年了
政治,19的百萬發票？　民眾黨：廠商漏開才「要求補開」
政治,柯文哲暫別黨主席自省　黃國昌力挺：必會透過時間贏回人民信任
政治,陳世凱任交長卓榮泰有信心！　賴士葆諷：實習生如何管部會業務？
政治,柯競總要跟木可討1360萬　時力酸柯文哲左手跟右手討錢：左右互搏之術
政治,柯文哲沒違法卻不主動公開？　黃揚明評記者會：說什麼都太慢了
政治,「木可2約」成柯文哲請假止血關鍵　違背眾人智慧超越個人
政治,何苦單戀柯文哲？　苗博雅怒：第三勢力的招牌不是他的遮羞布
政治,國人赴陸注意！國安示警高度謹慎　別亂拍照！連網路有遭駭疑慮
政治,國民黨副主席會大陸國台辦主任　夏立言喊：反台獨就能和平
政治,柯文哲率黨公職向支持者鞠躬致意　民眾黨喊改進：茁壯路上犯了錯
政治,剩3000萬選舉補助款怎麼用？　柯文哲：辦公室運作費用讓黨中央統籌
政治,曝應曉薇6年幫開30場協調會！　趙怡翔：京華城案「全職議員」
政治,卓榮泰稱「申貸族沒限貸令」　藍委質疑：政治黑手伸進央行？
政治,他分析沈慶京聲明透露一個「慌」字　「什麼時代了還這麼囂張？」
政治,6年56億打造健康台灣　行政院推動全民心理健康韌性計畫
政治,超思進口蛋爭議延燒一年多　監院明提調查報告糾正農業部
政治,帶著產業飛！地方公共建設納數位內容　數發部打造城鄉數位基礎建設
政治,開特例給許光漢選「公益大使團」？　內政部澄清：本梯次開7員額
政治,沈慶京反咬郝、柯市府有人索賄　綠議員：敢發聲明怎不公布人名？
政治,「不信柯文哲與沈慶京無對價關係」　趙少康：柯被收押風險很高
政治,「沒有柯文哲就沒民眾黨」！　張啓楷揭擴大會議內幕沒人要柯請辭　
政治,4300萬商辦要信託？　吳思瑤：柯文哲斷臂求生
政治,基隆東岸商場官商11人被起訴！　她轟：用無正當罷免掩蓋貪腐利益
政治,柯文哲2合約爭議大　「競總十分之一」1500萬流向木可成關鍵
政治,百年首見！試院鬧空城　國考證書院長簽名變這3字　
政治,大日行賄林右昌市府官員遭起訴　國民黨：笑死！拆樑理由已失效
政治,曝應曉薇2關鍵會議紀錄　李正皓：被收押一點都不奇怪
政治,陳世凱將任交通部長　洪孟楷質疑：他的專業在哪？
政治,批陳世凱交通背景「超外行」　王鴻薇：賴任用親信國家發展當兒戲
政治,評柯文哲「從蘇乞兒演到方唐鏡」　名嘴：最可憐的是相信他的支持者
政治,讚陳世凱是「好人才」　吳思瑤：過去爭取大台中交通建設不遺餘力
政治,重申沒有限貸令　卓榮泰：政府會滿足一般民眾正常的資金需求
政治,木可匯400萬給柯文哲　簡舒培揭「三位一體」：不是說沒進私人口袋？
政治,陳世凱接交通部長　綠委讚是適合人選：還有很多要學習
政治,憑白給了上百億！高嘉瑜3問柯文哲　仍避談京華城：到底怕什麼？
政治,陳世凱將接任交通部長！　藍委諷：王義川都比陳有經驗
政治,卓榮泰將宣布陳世凱接交通部長　政院發言人由謝子涵暫代
政治,簡舒培聲請彈劾柯文哲　轟柯「沈慶京的阿拉丁」：明知違法還硬幹
政治,陳世凱當交長誰接政院發言人？　林楚茵被點名：不論誰都會有好表現
政治,考委空窗！考試院擬通過3部會首長可開院會　翁曉玲質疑違憲了
政治,傳柯文哲4300萬商辦要信託　他證實：歸民眾黨、公益團體免費借用
政治,「大黑馬」陳世凱將接任交通部長　他曝兩優勢：賴清德一些意志要執行
政治,園縣市高峰會花蓮登場！5首長行動支持花蓮　號召大家一起來
政治,木可400萬「肖像使用權」給柯文哲　吳崢分析金流：洗一輪後中飽私囊
政治,台海戰爭和俄烏戰爭不同！施孝瑋解析環太平洋軍演重點
政治,木可被爆匯400萬授權金給柯文哲　名嘴：活半世紀第一次聽說
政治,李孟諺爆婚外情請辭　行政院發言人陳世凱有望接任交通部長
政治,童子賢：「核電不是敵人」　是綠能可以合作盟友
政治,青年座談關心「新南向Plus」　蕭新煌：用民間力量輔助台灣擴大影響力
政治,郝、柯市府遭爆「官員索賄」！律師指案情恐擴大：最重判無期徒刑
政治,沈慶京指郝、柯市府有官員索賄　蔣市府：請具體指名道姓或告發
政治,柯文哲政治獻金案狂燒難止血　律師揭爭議3關鍵
政治,柯文哲補助款私用怎解套？　王鴻薇獻計：4300萬商辦還給民眾黨
政治,代表賴清德訪美13天　林右昌將赴華府智庫演講、拜會政要
政治,遭沈慶京爆任內官員索賄　郝龍斌嗆 : 請公布姓名並立刻舉發
政治,無會計師願助柯文哲看帳　綠委神預言成真：早就說去拜託羅淑蕾
政治,柯找人查帳被拒　林俊憲：公會都不敢接的爛帳到底多可怕？
政治,1生效
政治,國會綠白合？柯建銘指政治環境不同　開大門走大路「未來可能合作」
政治,柯文哲將「請假」暫別黨主席自請調查　2代理人呼聲高
政治,林宜瑾案涉綠內鬥？陳亭妃直呼想太多　「妃常信賴」與林俊憲不尷尬
政治,政院打詐辦公室消失了？　陳菁徽曝：改組成了「打詐指揮中心」
政治,柯文哲爭議燒不停　綠中常委曝「支持者很爽」：被騙的人都醒了
政治,賴清德：「行動101」解決國內中長期課題　面對挑戰「不能單兵作戰」
政治,行政院拍板2840億潛艦國造　柯志恩轟：一口氣編14年計畫急什麼？
政治,呼籲民眾黨團結！蔡壁如：找回創黨初心　如小草般韌性挺過風雨
政治,館長曝最新空拍照片　陳佩琪上台直播人數飆破10萬人
政治,萬名小草上街聲援柯文哲　柯美蘭現身致謝
政治,蕭旭岑上台聲援柯文哲　轟檢調毀人格「馬英九感同身受」
政治,寫信挺民眾黨！「過來人」徐巧芯喊：要活得更好　才有力氣面對挑戰
政治,謝國樑「學姊」來相挺　台東縣長饒慶鈴：投「不同意」捍衛市產
政治,京華城案狂燒　他揭1點「柯文哲每天笑著入睡」：冤獄1天賠10萬票
政治,喊話小草今晚「集結」挺柯文哲！　陳智菡：為台灣司法正義站出來
政治,長照人員換照亂象多　監察院促請衛福部會同教育部檢討改善
政治,民眾黨感謝藍營「正義之士」　綠委分析：企圖營造朝野對抗掩護柯文哲
政治,白營集結挺柯文哲、綠搶收割小草　李彥秀：最大輸家是司法制度
政治,「1500沈慶京是什麼？」律師曝2方法查證：柯文哲提抗告勝算渺茫
政治,中國觀光武器打壓搶我邦交國　亞總投資考察團前進帛琉
政治,民眾黨立法院外聲援柯文哲　綠委：小草明顯被工具化
政治,如果同意藍白合「柯文哲還會有今天？」　趙少康嘆：勸他都不聽
政治,要藍營「兩大咖」小心　邱毅揭賴清德下一步：藍白解體、奪立院優勢
政治,賴清德16年前稱羈押傷害人權、轟押人取供　主張檢調有證據就起訴
政治,曬合照力挺柯文哲！　柯志恩要法務部說清楚：偵查不公開是笑話？
政治,陳水扁PO柯文哲合照「同是天涯淪落人」　陳昭姿：是感慨、疼惜
政治,韓國光州雙年展美國館開幕　美國亞洲藝術博物館將參展馬祖藝術島
政治,綠挑戰2758決議不涉台　藍委嗆賴清德：別用「台獨思維」炒短線
政治,動員挺柯文哲先繳500元保證金　他提醒小草：民眾黨是不是有點自私
政治,虛擬通貨公會自律規範月底出爐　違規擬處50萬違約金
政治,轟北檢粗糙辦案、押人取供　郭正亮曝美日友人質疑：怎麼能羈押柯文哲
政治,林昭印拍桌要小草上街　周榆修緩頰喊不好意思：太心急但沒惡意
政治,教部編登陸旅費「爽花納稅錢」　王鴻薇酸：陸委會還勸別去中國
政治,高雄怕到了！「容積率1142％」急轉彎　郭正亮：為何這不是圖利
政治,傳柯文哲曾說會給黨交代！周榆修否認：都沒跟我講　還會跟外界講？
政治,今晚集結濟南路聲援柯文哲　邀藍參加？黃國昌：會有非常多各界好友
政治,海基會預算爆增7千多萬　李彥秀：民進黨繼續反中也只是浪費錢
政治,林昭印嗆小草周日不出來　綠委轟：民眾黨像邪教
政治,黃國昌：賴清德「黨檢一體」不僅重創柯文哲清譽　司法公信力也受創
政治,揭高雄國賓「容積率1142%」疑點　羅智強酸：暖男轉彎了司法還在睡
政治,周杰倫攻大巨蛋暖問粉絲「想聽什麼」　釣出蔣萬安敲碗「這首歌」
政治,曝兩人合照為柯文哲送暖？　陳水扁寫下「同是天涯淪落人」
政治,藍委聲援林依晨「我是成都人」：我以我的認同為榮
政治,砲轟大法官提名人「思之猶有餘恨」！管中閔突道歉：寫得太婉轉
政治,民眾黨8日開講聲援柯文哲！黨部備千條「公民絲帶」抗議司法不公
政治,柯文哲「小沈1500」遭疑！游淑慧：天下第一檢變天下第一大嘴巴
政治,動物之家認養率提高、退養率竟也增加　議員盼縮短鑑賞期
政治,建國啤酒廠案監察院內政部　國土署：會依糾正意見檢討
政治,民眾黨全黨挺柯文哲戰清白　選代理黨主席關鍵時機點曝
政治,警政署宣傳預算暴增13倍！　楊瓊瓔轟：漫天要價又沒做好事
政治,拍桌！他怒嗆小草周日敢出來嗎？　「要你們上街頭藉口一大堆」
政治,日本對賴清德「心有餘悸」？　總統府駁：報導憑空臆測
政治,憂明年開徵碳費影響企業競爭力　藍委：別肥了政府瘦了百姓
政治,柯文哲昔憂「我是對的沒人敢反駁恐出事」　他嘆：如今一語成讖
政治,藍委爆編31萬預算赴日考察黑熊　監院：近年調查案件不少與保育相關
政治,柯文哲政治偶像幻滅！　苗博雅：台灣邁向更成熟公民社會
政治,郵局重複撥薪3.8億讓破萬國軍「領雙倍」　國防部回應了
政治,改名線上就可以！　內政部：「未滿14歲者」法定代理人可上網申辦
政治,柯文哲新竹老家被貼教出貪汙犯　綠委轟：停止騷擾家人的丟臉行徑！
政治,轟民眾黨情勒群眾！　她傻眼：讓「不明資產透明化」才是解藥
政治,小草聚集土城看守所聲援柯文哲　侯友宜：每人都有表達訴求權利
政治,北市民宅關籠養品種犬、疑超收費用盈利　北市動保處開罰
政治,行政院聘前日議員任無給職顧問！　綠委曝與賴清德關係
政治,解讀「1500沈慶京」可能是指下午3點！　林智群：見獵心喜沒必要
政治,監院編31.5萬到北海道考察黑熊　羅智強批濫花錢：北海道是棕熊
政治,2025將徵碳費！藍委憂「綠色通膨」　建築、汽車、娛樂產業衝擊大
政治,建國啤酒廠都更案爭議多　監察院3點糾正北市府、內政部「置身事外」
政治,柯文哲有羈押之必要？　黃智賢：「實質影響力」遠超鄭文燦
政治,司法公信力活教材！柯文哲案爆料不斷　李彥秀：影射的殺傷力很強
政治,柯文哲與沈慶京密帳？　民眾黨批北檢：踐踏偵查不公開原則
政治,罕見任命！行政院聘日本人當政務顧問　廣納益台政務建議
政治,陸委會捐助海基會預算暴增7千多萬　許宇甄質疑用途轟：荒謬
政治,藍營「固樑」升級吹對決主旋律　大團結力阻首張骨牌倒下
政治,國安局長蔡明彥出席拉美情報會議　拜會巴拉圭總統轉交賴清德致函
政治,嘉義小草們集結挺柯文哲！　黨部喊話：為司法正義站出來
政治,柯文哲USB「1500沈慶京」是時間或金流？　綠委：有待檢調釐清
政治,鄭文燦、柯文哲接連出事　她質疑：地方首長「這兩隻手」權限多大？
政治,媒體人：讓柯文哲一刀斃命鐵證　不是「小沈1500」
政治,白營群龍無首　綠委籲民眾黨立柯文哲「永遠主席」、黃國昌「委員長」
政治,中國官員在PIF「動粗拉扯」施壓　我代表團連簽證都險被擋
政治,蔡正元：柯文哲這次很奇怪「罪狀是羅織的」　建議廢除圖利罪
政治,柯文哲被押　傳民眾黨創黨大老擬推黃國昌暫代主席
政治,「柯文哲被押」國民黨鬧分歧！趙少康：綠弊案欠辦　藍白擬大反攻
